,Unnamed: 0,POINT_ID,CURRENT,FORCE,TH_ORDER,TH1,TH2,TH3,1,10,r_max_time,r_max,slope_exp,intercept_exp,assesment_txt,OK,anomaly,gap,shunt
52,52,370283,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,430,151,90.0,101.0,-0.01627713136906,6.080062340056668,OK,1,0,0,0
53,53,370282,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,420,151,72.0,100.0,-0.0202124581026665,6.060467169380081,OK,1,0,0,0
54,54,370281,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,404,157,61.0,101.0,-0.0231049060186648,6.024519783979815,OK,1,0,0,0
55,55,370280,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,384,153,71.0,98.0,-0.0195096439131022,5.9701521965008295,OK,1,0,0,0
56,56,370275,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,355,161,109.0,119.0,-0.0101203175589248,5.882238107034341,OK,1,0,0,0
57,57,370320,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,496,232,89.0,128.0,-0.0153925643500603,6.221968491074988,OK,1,0,0,0
58,58,370293,8.4,2.0,0.7 + 0.75 + 0.9,0.7,0.75,0.9,493,211,179.0,117.0,-0.0080805350519378,6.208589709094627,OK,1,0,0,0
59,59,270394,8.4,2.2,0.7 + 0.8 + 0.9,0.7,0.8,0.9,397,174,62.0,116.0,-0.0201696080259151,6.004105888713106,OK,1,0,0,0
60,60,170587,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,362,166,121.0,119.0,-0.0092710059892853,5.900915217815057,OK,1,0,0,0
61,61,170644,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,364,174,54.0,142.0,-0.0177608832082166,5.914914750844957,OK,1,0,0,0
62,62,170646,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,361,166,92.0,129.0,-0.0113084126810022,5.900186371013882,OK,1,0,0,0
63,63,270354,8.6,2.2,0.7 + 0.9 + 1,0.7,0.9,1.0,407,173,66.0,126.0,-0.0180389427460171,6.026852128188612,OK,1,0,0,0
64,64,527704,9.4,2.0,0.7 + 0.95 + 0,0.7,0.95,0.0,63,65,72.0,84.0,0.0040518601753771,4.139082866216155,OK,1,0,0,0
65,65,127048,8.4,2.0,0.7 + 1 + 0,0.7,1.0,0.0,171,90,84.0,80.0,-0.0091522520702262,5.150815808572887,OK,1,0,0,0
